,Unnamed: 0,Autor(es)/Instituições,Título,Tipo,Evento,Ano,Link do Arquivo
3895,3895,Michele Rossoni Rosa,os livros e a ditadura militar no brasil: o “jogo” jurídico e a desmobilização das oposições ao governo (1964-1969),Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548875178_5b9438b83395f96f7be4b49ad4e02ebf.pdf
4196,4196,Alice Mitika Koshiyama,"comunicação, memória, história e ficção: síntese crítica da ditadura no romance k.",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874926_0bb31d4ca99f1567fd0eb7c449418bea.pdf
4201,4201,ALEXANDRE PIANELLI GODOY,a aluna e o comandante: memória e política do ensino municipal paulistano na época da ditadura militar (1964-1985),Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874926_4cc5dd3df59791fa89740274ab8aef21.pdf
4350,4350,ANA RITA FONTELES DUARTE,a estratégia psicossocial e a segurança nacional em tempos de ditadura – uma leitura de gênero da doutrina da escola superior de guerra,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874925_4730cd20b1de1584b9a464c8b1d40672.pdf
4406,4406,Ana Beatriz Ribeiro Barros Silva,recuperando corpos para o capital: a reabilitação profissional de trabalhadores incapacitados para o trabalho e a ditadura militar brasileira,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874925_a0dbfb795937bcd4e5f380f67839a4c4.pdf
4535,4535,AZUCENA CITLALLI JASO GALVÁN,"méxico: estado de exceção sem ditadura, 1964 - 1982.",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874924_18d316b6e54d56f472d71d77ed33396a.pdf
4607,4607,Cristina Scheibe Wolff,"gênero e maternidade nos movimentos de resistência contra as ditaduras no cone sul, américa do sul",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874923_6be25f8b353c4e56bd262944b0bc956a.pdf
4620,4620,Clovis Antonio Brighenti,ditadura militar em terras kaingang,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874923_20f82e0f4f756d2d414cf9b38b3ec70e.pdf
4626,4626,Clécio Ferreira Mendes,o terrorismo de estado na ditadura chilena: ideologia e funcionamento da dina nos anos de 1970 e 1980,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874923_a06c58ab10ee1320625d42e3e74a3924.pdf
4641,4641,Claudiane Torres da Silva,o tribunal regional do trabalho da 1ᵃ região e seus magistrados durante a ditadura civil-militar,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874923_98eaa999c8cef8ef3019cefb85c0623d.pdf
4698,4698,Cecília Riquino Heredia,com o veto na ponta do lápis: uma análise sobre dinâmicas e processos da censura à canção durante a ditadura militar (1964-1985),Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874923_0e726ab394db6a45263e53d74ad2b737.pdf
4821,4821,Luiz Carlos Ribeiro,futebol e ditadura na américa latina: a experiência do c.o.b.a.,Comunicação,XXVII Simpósio Nacional de História,2013.0,
4822,4822,Luiz Carlos Ribeiro de Sant'ana,"adeus à viralatice: o filme isto é pelé (1974), o futebol e a ditadura",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874922_09fe86fa0e0d30c2d7dc4ba63a4bd597.pdf
4847,4847,Júlia Souza Cabo,"flor do mal, cultura marginal e heterotopias: experiências estéticas e o vislumbre de uma nova ordem na imprensa alternativa brasileira durante a ditadura militar.",Comunicação,XXVII Simpósio Nacional de História,2013.0,
4898,4898,KEIDES BATISTA VICENTE,"nos não somos mulheres também não, (...) nos somos gente. androgenia, dança e contestação política durante a ditadura militar no brasil.",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874921_8b4461c4cec33eaf5ea926c929c8cecf.pdf
4964,4964,"Pere Petit Peñarocha,JAIME CUÉLLAR VELARDE","memórias da resistência, repressão e consolidação da ditadura civil-militar no pará: 1964-1970",Comunicação,XXVII Simpósio Nacional de História,2013.0,
4983,4983,Janine Gomes da Silva,espaços de memória. arquivos e fontes documentais (re)significando as ditaduras militares (brasil e paraguai).,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874920_9d992a32cf99a5e0b1f4956012a331e8.pdf
5008,5008,Joana Maria Pedro,"da resistência às ditaduras ao feminismo no cone sul – razões e rupturas, processo de afastamento das mulheres das organizações de resistência",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874920_8c5715f747003dfbb76a699db84d5cb5.pdf
5097,5097,Grimaldo Carneiro Zachariadhes,"""entre deus e o diabo"": o arcebispado de d. avelar brandão vilela durante a ditadura militar",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874919_f83fe0b5be74f9259d3bf380f2221c1d.pdf
5141,5141,HUMBERTO DA SILVA MIRANDA,memórias da “dona febem”: a assistência a infância na ditadura militar (1964 – 1985),Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874919_842a4cfcdf7407e15aebc482030525bf.pdf
5214,5214,Fernanda Queiroz de Menezes,um breve olhar sob a repressão política no campo no período da ditadura militar com ênfase na região da prelazia de são félix do araguaia – 1973,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874918_388ed412b62a8c67319c8775e32a8230.pdf
5242,5242,Flávio da Conceição,militares cearenses na contramão da ditadura militar (1963-1965),Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874918_509061a1c18cfc0224e4fb884b2b780b.pdf
5282,5282,Gabriel dos Santos Nascimento,violência fardada: a polícia militar do estado de são paulo na ditadura civil-militar (1970 - 1982),Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874918_d53799a89a0c2ba26e9f7f87753d425d.pdf
5409,5409,Enrique Serra Padrós,ditaduras de segurança nacional em regiões de fronteira:  o rio grande do sul e a rede de direitos humanos,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874917_2eea40cf7d1e3a6cb0174b9d2dae99bc.pdf
5508,5508,David Antonio de Castro Netto,"a estratégia psicossocial como instrumento de construção e manutenção de legitimidade, adesão e consentimento na ditadura militar no brasil (1964 – 1985)",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874916_ee4e0579a63ea6dc5dd31c3d751634f7.pdf
5517,5517,dayse maciel de araujo,"a memória histórica da ditadura militar brasileira mediada pela telenovela ""amor e revolução""",Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874916_6ff61909926506ceaafc1544d1d5c41c.pdf
5572,5572,Eder Alexandre Martins,ditadura de quem?,Comunicação,XXVII Simpósio Nacional de História,2013.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548874916_926f9d719eea3ec1d7d4681bc6880193.pdf
5641,5641,Márcio Ananias Ferreira Vilela,ditadura militar e sociedade: a inserção da igreja presbiteriana do brasil em questões políticas e sociais no brasil entre 1962 a 1966,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856712_78bf4dff24f47cfbb5fb173bac450ede.pdf
5682,5682,Marcos Vinicius Ribeiro,terror ampliado: a ditadura civil-militar argentina de 1976 e a repressão patronal.,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856712_0d5b2d777cc5a6eced8e00d1abf391da.pdf
5914,5914,Michele Rossoni Rosa,os livros na ditadura militar: ações criminais contra a editora civilização brasileira (1964-1972),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856709_beac137dc9fa92236e18f9845240fa8d.pdf
5940,5940,Mirian Alves do Nascimento,as mulheres e os periódicos de oposição nas ditaduras militares do cone sul (1954-1989),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856709_c9f7135ddbdb4889cd131f70e423a3f3.pdf
5978,5978,NADIA GAIOFATTO GONÇALVES,doutrina de segurança nacional e desenvolvimento na ditadura civil-militar: estratégias e a educação,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856709_f5593411bd93d53123769d043a6458ed.pdf
6151,6151,Pedro Henrique Pedreira Campos,semeando gigantes: centralização de capitais e diversificação das atividades das empreiteiras brasileiras no final da ditadura civil-militar,,XXVI Simpósio Nacional de História,2011.0,
6241,6241,Raphael Nunes Nicoletti Sebrian,"uma revista da ditadura à democracia: cultura, política e história em “punto de vista” (1983-1994)",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856706_7d4c69a6392b3da25a94e6b94802d8e9.pdf
6291,6291,Reinaldo Lindolfo Lohn,"entre a ditadura e a democracia: transformações urbanas e democratização nas páginas dos jornais - um tempo presente brasileiro (o caso de florianópolis, sc, 1964-1990)",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856706_3fa7c22de1c8bbb25667e57ea8dd9ff7.pdf
6302,6302,Renata Costa Reis de Meirelles,civilização e barbárie: violações de direitos humanos no brasil da ditadura,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856706_5aecbfc43bda688ae40550eef40c1054.pdf
6375,6375,Roberto Abdala Junior,memórias daditadura nos anos 1980 e a minissérie  anos rebbeldes: a teleficção como arte,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856705_ca7766fc98c7b08268dbf774cf2306f5.pdf
6460,6460,ROSILENE DIAS MONTENEGRO,"burlas e astúcias na escola politécnica da paraíba no período da ditadura militar: memória, história oral e escrita",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856704_b5cf0ec775d626c9fb78bd0e321b805e.pdf
6574,6574,SUZANA ARAKAKI,ditadura militar em mato grosso do sul: história e historiografia,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856703_4f8b3e1daa4c5351eef767b912b350a4.pdf
6583,6583,suzane conceição pantolfi tostes,"processo de transição do período da ditadura para ""nova república"", pautado em uma ""conciliação pelo alto"".",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856703_bbc577581597616b8e077e6fb0e2b68a.pdf
6600,6600,Tamara Paola dos Santos Cruz,vigilância e censura policial às escolas de samba na ditadura militar,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856703_e721e5852b7e9684e4d60689fb18ebf5.pdf
6607,6607,TANIA REGINA PIRES DE GODOY,educação aos militares após a ditadura,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856703_412a8f5f627d57c61d55237a954791ac.pdf
6628,6628,Tatyana de Amaral Maia,as políticas culturais na ditadura civil-militar (1967-1974),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856702_5f298fd1d5a4c02fe73cdf0bd52ce720.pdf
6649,6649,Thiago Aguiar de Moraes,o instituto de pesquisas econômicas e sociais do rio grande do sul e a revista democracia e emprêsa: da defesa da democracia ao apoio à ditadura civil-militar (1962-1971),,XXVI Simpósio Nacional de História,2011.0,
6774,6774,Vitor Amorim de Angelo,uma repressão em busca de justificativa: a relação entre ditadura militar e luta armada no brasil,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856701_e97fe1039d43476a8016541b6ca18115.pdf
6944,6944,Fernanda Teixeira Moreira,entre vítimas e perpetradores: intelectuais de direita e a memória da ditadura civil-militar brasileira,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856594_0bab8bdf48cba0ca665d85c2a2c53ba3.pdf
6969,6969,FLAMARION MAUES PELUCIO SILVA,livros que tomam partido: editoras de caráter político nas transições das ditaduras no brasil e em portugal,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856594_c256960f6b637484739371e3ec887710.pdf
6986,6986,Franciele Becher,os “menores” e a funabem: influências da ditadura civil-militar brasileira,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856594_a72769bfe06b40e3456947821f887866.pdf
7061,7061,Gerson Wasen Fraga,"futebol, imprensa e ditadura: das formiguinhas de geisel à abertura de telê",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856594_9349748790acc1f80a553fa538034713.pdf
7063,7063,Giane Maria Giacon,a crítica política augusto roa bastos a ditadura stronista,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856594_005813363b2cb43cafb7f3215f835c6f.pdf
7162,7162,HELENICE CIAMPI,"em nome da ordem: as escolas municipais de ensino de 1º grau da cidade de são paulo, no período da ditadura militar (1964-1985).",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856593_c474e9a11314af98263b918ebf09c96c.pdf
7289,7289,Jaime Valim Mansan,o controle do campo do ensino superior no brasil da ditadura civil-militar (1964-1985),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856592_23ce2fe63dd92acbf8f6777725de60e7.pdf
7298,7298,JANAINA DE ALMEIDA TELES,memórias dos cárceres da ditadura: os testemunhos dos presos políticos no brasil,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856592_b7de7fe0adf35d9332a66ea62408ff03.pdf
7484,7484,Juliana Ramos Luiz,brasil: deixe-o - considerações acerca do instituto do banimento político e sua aplicação na ditadura civil-militar brasileira (1969-1979),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856590_7880a5ef151e91fb2d843f7e7f52a389.pdf
7509,7509,JULIO MANGINI FERNANDES,cultura do medo e terror: as práticas repressivas da ditadura civil-militar brasileira aos exilados brasileiros na década de 1970.,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856590_a09aa411a6e3cdd09118dc6fb8493bda.pdf
7668,7668,Livia Goncalves Magalhaes,futebol em tempos de ditadura civil-milita,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548856588_cf76a9b43b3a002a02f40f6ef72b1d7d.pdf
7905,7905,ALCILENE CAVALCANTE DE OLIVEIRA,a representação da ditadura civil-militar argentina no filme camila,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855462_09bb9e2c10707b00f8d819395fc45ee2.pdf
7946,7946,ALEXANDRE FELIPE FIUZA,a censura musical argentina durante a ditadura militar (1976-1983),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855462_f769c1c9f0db3456005242e39d128608.pdf
7958,7958,ALEXANDRE PIANELLI GODOY,“re-vistando” a escola e o ensino municipal de são paulo na ditadura militar,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855461_f3e4a4d22a90ee753042473709759d84.pdf
7965,7965,Alexandre Tavares do Nascimento Lira,a atuação dos empresários na educação durante a ditadura militar (1964-1985).,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855461_7c721fe2c8b41dfa804b7e2b8f9e5c3a.pdf
7967,7967,Alexis Nascimento Araújo,desenvolvimentismo e meio ambiente: a poluição atmosférica na região metropolitana de belo horizonte durante a ditadura militar,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855461_a184dad69d3dfce90fffab2e4eaff640.pdf
8054,8054,ALEXANDRE PIANELLI GODOY,“re-vistando” a escola e o ensino municipal de são paulo na ditadura militar,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855461_f3e4a4d22a90ee753042473709759d84.pdf
8078,8078,André Souza Brito,pastores e leigos protestantes “comunistas” sob a “mira” dos órgãos de informação e de repressão da ditadura militar brasileira,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855460_891b0376e58aed022f24e0ef874ed38e.pdf
8116,8116,Ancelmo Schorner,a ‘ditadura do local de nascimento’ ou ‘só podia ser paranaense’: migração e preconceito em jaraguá do sul-sc.,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855460_a8862d2411bfcd394c4078e66aa134e6.pdf
8125,8125,ANA RITA FONTELES DUARTE,homens e mulheres contra o inimigo: a mobilização do gênero pela ditadura militar brasileira (1964-1985),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855460_9d6bec4787ee301aacb667a9e9ef6f80.pdf
8226,8226,Apoena Canuto Cosenza,a anomalia demográfica de 1970 e a ditadura militar,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855459_83df8f18b13a63530f7c5407157eb58d.pdf
8256,8256,Angélica do Carmo Coitinho,juízes (e) militares no processo de liberalização da ditadura civil-militar brasileira (1973-1979),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855459_dcb9fcf65e14b1fb7fc98dc432549a4d.pdf
8257,8257,Angelica Müller,"""a história como arma"": a memória histórica como objeto da resistência estudantil contra a ditadura no final dos anos 1970",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855459_641904ac523ca9eccbd9ed1c7d598a89.pdf
8272,8272,Cássio Augusto Samogin Almeida Guilherme,o “caso halim maaraoui”: re-visitando a ditadura civil-militar entre arquivos e memórias.,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855458_af5f9140c64e3738e7dec4dc7320e4af.pdf
8283,8283,Caroline Silveira Bauer,as políticas de memória e de esquecimento sobre as ditaduras argentina e brasileira através das rememorações dos golpes civil-militares,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855458_1d87a9e86d0a2bd5a2f7bf2d6fa28cf7.pdf
8357,8357,Carla Luciana Souza da Silva,imprensa e ditadura: trajetórias intelectuais e formação de consenso,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855458_03f052764cc8010a2c6441af2c4fe7c2.pdf
8393,8393,BRUNO SOBROZA DUARTE,desmontando a ditadura: o governo de ernesto geisel,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855458_243958479c3f301372ac31a5905ef9f2.pdf
8411,8411,Daniel de Araujo dos Santos,nas urnas e nos gramados – as eleições e o campeonato brasileiro durante a ditadura civil - militar,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855457_4937e7f4dddc91ae1de806d747ad5601.pdf
8472,8472,Claudiane Torres da Silva,a ditadura civil-militar e o direito do trabalho no brasil,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855457_7abd08eafe14ebd153f92c1605539968.pdf
8562,8562,Diogo Cunha,"intelectuais, cultura e política : os imortais e a ditadura civil-militar no brasil",,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855456_1de5244594335000b1fbaa098d4a96b2.pdf
8587,8587,Dennison de Oliveira,ditadura militar no cinema: questões sobre as representações fílimicas da história,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855456_125aec2b77b256b717eff945932171d0.pdf
8603,8603,DEBORAH REGINA LEAL NEVES,o desafio da preservação da memória da ditadura: o patrimônio histórico em questão.,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855456_920d2f8e8cd57d6ddd49894c4e1eff2f.pdf
8715,8715,Elias da Silva Maia,história política e cultural da ciência brasileira no período da ditadura militar.,,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855455_f886be7d6d68e2e64b5aa3750cbc0679.pdf
8743,8743,EDVANIR MAIA DA SILVEIRA,os estudantes e a ditadura militar em sobral-ce (1964-1970),,XXVI Simpósio Nacional de História,2011.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548855455_cb5067311841ca90c7dec7c2ab1618cf.pdf
9007,9007,"NEVES, Ozias Paese.",transformações na sociedade e no campo do direito durante a ditadura militar: o papel da oab.,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772192_ea77c5cb91e74f14d929ef38fb172e31.pdf
9099,9099,"PINHEIRO, Alexandre Coelho.",construção de uma memória silenciada: representações da ditadura militar (1964-1985) no cinema brasileiro.,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772191_bcff9a2089e6ace762afa50bc4de581c.pdf
9132,9132,"SILVA, Graziano Uchôa Pinto da.",a ditadura paraguaia: os movimentos 14 de mayo e fulna e a insurgência contra a repressão de stroessner (1954-1961).,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772191_dc2da67d024221b0f728912071af6f79.pdf
9134,9134,"PENNA FILHO, Pio.",a ditadura paraguaia: os movimentos 14 de mayo e fulna e a insurgência contra a repressão de stroessner (1954-1961).,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772191_dc2da67d024221b0f728912071af6f79.pdf
9164,9164,"CASTRO NETTO, David Antonio de.",legitimação e ditadura: a propaganda comercial em foco.,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772191_216d86e982b183df175885fcbed874fb.pdf
9173,9173,"HESSMANN, Dayane Rúbila Lobo.","combatendo a ""peste vermelha"": a construção do subversivo entre o alto e baixo escalão dos órgãos de repressão durante a ditadura militar brasileira (1964-1985).",Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772191_a6ef36e8d6810d1e9702237e25caf0ff.pdf
9334,9334,"BEZERRA, Paulo César Gomes.",a constituição de uma autoridade na narração do passado. entre a história e a memória: a atuação dos bispos católicos na ditadura militar brasileira.,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772190_96c2059d9e78d97cd8fcaa7c2c0475d1.pdf
9361,9361,"SANTANA, Arthur Bernady.","a br-163: ""ocupar para não entregar"", a política da ditadura militar para a ocupação do ""vazio"" amazônico.",Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772190_fe0468e4ba762636f0a0614dbff03498.pdf
9365,9365,"GUADAGNIN, Paulo Roberto Rodrigues.",a experiência de utilização dos processos trabalhistas nos estudos sobre a ditadura brasileira no rio grande do sul (1964-1968).,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772190_1ab285cb4e0a9156fb5dc85d6187749c.pdf
9401,9401,"CASTEX, Lilian Costa.",ditadura militar brasileira (1964-1984): um conceito substantivo e as idéias históricas na educação escolar.,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772190_9fa573e6ceb76b6041581e2753f1bcef.pdf
9570,9570,"JOFFILY, Mariana.",repressão política e gênero nas ditaduras militares do brasil (1964-1985) e da argentina (1976-1983).,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772189_9e2c498c97922ba1fb1e319b5f6c16c6.pdf
9619,9619,"KOSHIYAMA, Alice Mitika.",a ditadura no brasil e o ensino de jornalismo na eca-usp (1975-1976): presença da censura e da repressão.,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772188_0ab6735d372a71d3e074352514a0311a.pdf
10097,10097,"MAIA, Tatyana de Amaral.",a cultura como guardiã do espírito cívico nacional: a ação dos intelectuais do conselho federal de cultura na ditadura civil-militar (1966-1975).,Comunicação,XXV Simpósio Nacional de História,2009.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548772005_3d2f4dc5fb852fddfc941bef37086d85.pdf
10520,10520,"DUARTE, Ana Rita Fonteles.",em guarda contra a repressão: as mulheres e os movimentos de resistência à ditadura na américa latina.,Comunicação,XXIV Simpósio Nacional de História,2007.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548210565_78538466741356813f92abea749ed7d9.pdf
10522,10522,"LOPES, Rosalba.",clandestinos debates no brasil da ditadura: 1974-1978.,Comunicação,XXIV Simpósio Nacional de História,2007.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548210565_ff27d99d2af2b3bc112bd5232d31da0b.pdf
10529,10529,"MARTA, Felipe Eduardo Ferreira.",artes marciais e ditadura no brasil: histórias que se cruzam? incursões pelas páginas de “o judoka”.,Comunicação,XXIV Simpósio Nacional de História,2007.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548210565_ae606203299795101c5696b2f3a89dcd.pdf
10606,10606,"GASPAROTTO, Alessandra.",“viver ou morrer na guerrilha”. reflexões sobre o testemunho de um militante da resistência armada contra a ditadura que participou dos processos de retratação pública. brasil – 1970-1975.,Comunicação,XXIV Simpósio Nacional de História,2007.0,https://anpuh.org.br/uploads/anais-simposios/pdf/2019-01/1548210564_6353b108838688f905d2d77247ec72ac.pdf
